path,x,y
../Rocks-CENTERED/000794.png,7,5
../Rocks-CENTERED/002183.png,0,9
../Rocks-CENTERED/004294.png,38,52
../Rocks-CENTERED/000019.png,24,42
../Rocks-CENTERED/001307.png,7,65
../Rocks-CENTERED/003510.png,61,39
../Rocks-CENTERED/004519.png,30,33
../Rocks-CENTERED/003276.png,66,38
../Rocks-CENTERED/002168.png,18,22
../Rocks-CENTERED/001461.png,69,48
../Rocks-CENTERED/001475.png,21,3
../Rocks-CENTERED/003262.png,14,30
../Rocks-CENTERED/003504.png,22,38
../Rocks-CENTERED/001313.png,66,57
../Rocks-CENTERED/002632.png,58,28
../Rocks-CENTERED/004243.png,4,13
../Rocks-CENTERED/000025.png,1,12
../Rocks-CENTERED/000743.png,63,6
../Rocks-CENTERED/004525.png,50,33
../Rocks-CENTERED/002154.png,42,29
../Rocks-CENTERED/004531.png,21,17
../Rocks-CENTERED/002140.png,62,53
../Rocks-CENTERED/001449.png,61,45
../Rocks-CENTERED/000757.png,14,65
../Rocks-CENTERED/000031.png,22,63
../Rocks-CENTERED/002626.png,23,38
../Rocks-CENTERED/003538.png,65,46
../Rocks-CENTERED/004257.png,27,57
../Rocks-CENTERED/004900.png,44,60
../Rocks-CENTERED/001878.png,36,14
../Rocks-CENTERED/003909.png,59,23
../Rocks-CENTERED/004914.png,10,57
../Rocks-CENTERED/001844.png,45,11
../Rocks-CENTERED/000582.png,19,63
../Rocks-CENTERED/002395.png,56,37
../Rocks-CENTERED/003935.png,50,47
../Rocks-CENTERED/004082.png,39,51
../Rocks-CENTERED/003921.png,28,37
../Rocks-CENTERED/004096.png,67,13
../Rocks-CENTERED/002381.png,4,16
../Rocks-CENTERED/001688.png,12,19
../Rocks-CENTERED/001850.png,2,60
../Rocks-CENTERED/000596.png,55,30
../Rocks-CENTERED/001663.png,35,65
../Rocks-CENTERED/003074.png,52,3
../Rocks-CENTERED/003712.png,30,48
../Rocks-CENTERED/001105.png,8,11
../Rocks-CENTERED/001111.png,3,60
../Rocks-CENTERED/004069.png,65,1
../Rocks-CENTERED/003706.png,21,26
../Rocks-CENTERED/002418.png,20,18
../Rocks-CENTERED/003060.png,12,33
../Rocks-CENTERED/000569.png,47,65
../Rocks-CENTERED/001677.png,47,32
../Rocks-CENTERED/002356.png,57,15
../Rocks-CENTERED/003048.png,56,8
../Rocks-CENTERED/004727.png,22,37
../Rocks-CENTERED/001887.png,14,51
../Rocks-CENTERED/000541.png,54,15
../Rocks-CENTERED/001139.png,45,67
../Rocks-CENTERED/000227.png,59,57
../Rocks-CENTERED/004041.png,52,43
../Rocks-CENTERED/002430.png,68,7
../Rocks-CENTERED/004055.png,25,44
../Rocks-CENTERED/002424.png,15,42
../Rocks-CENTERED/000233.png,6,28
../Rocks-CENTERED/001893.png,28,65
../Rocks-CENTERED/000555.png,5,43
../Rocks-CENTERED/002342.png,44,50
../Rocks-CENTERED/004733.png,2,45
